UID,title,authors,keywords,sessions,abstract
P2-14,JTweetRoBERTa: 大規模SNS投稿テキストによる事前学習と各種タスクによる性能検証,高須遼|狩野芳伸,,P2:ポスター,"SNS 投稿は一般の書き言葉と異なり口語的かつ特有の傾向があり，書き言葉にもとづくモデルではうまく対応できない可能性がある．本研究では 6,000万件のツイートデータで事前学習モデルを作成し，JGLUE，WRIME，メンタルヘルス不調の有無のツイート 2 値分類など 8 つのタスクでファインチューンを行い評価し，既存モデルとの比較を行った．すべての評価タスクで Wikipedia および CC100 で事前学習したベースラインを上回り，大規模ツイートで事前学習した提案手法の効果を示した．また，ほとんどの評価で多言語ツイート事前学習モデルTwHIN-BERT をも上回り，提案手法は日本語 SNS 投稿を対象とするタスクにおいて世界最高の性能であると考えられる．"
P2-15,マイクロブログの再発するトレンドを予測する,赤崎智|山下達雄,,P2:ポスター,我々はマイクロブログにおけるトレンドを日々認識し，最新情報へのキャッチアップを行なっている．これらのトレンドの中には，新しく発生するもののほか，既に発生したものが再度盛り上がる例がある．そこで本稿では，マイクロブログにおけるトレンドの再発を予測するというタスクに取り組む．我々は，マイクロブログである X の過去のトレンドで 2 回以上発生したものを正例，それ以外のものを負例としてデータセットを構築し，どのようなトレンドが再発するかを分析する．予測モデルは，トレンドに含まれるポスト及びユーザプロフィールなどのテキスト情報と，トレンドの勢いなどの時系列情報を用いて再発を予測する．実験では，提案手法がトレンドの勢いのみを特徴量として用いた手法よりも高精度で予測ができることを示す．
P2-16,Eコマースにおけるユーザー行動ログと大規模言語モデルを活用したクエリ拡張のための辞書作成,浅野孝平|稲田和明|張信鵬,,P2:ポスター,情報検索において，ユーザーの意図をより正しく捉え，適切な検索結果に改善する方法の 1 つとしてクエリ拡張が知られている．クエリ拡張の実現には人手で整備された辞書をはじめとする言語資源が必要だが，特定の E コマースなどの専門性の高いドメインで利用可能な言語資源は一般に公開されておらず，また人手での作成コストが高い．本研究では，E コマースの商品検索サービスのログデータにおけるユーザー行動の類似度に基づいて，言語資源のための候補データを抽出し，大規模言語モデルを用いて言語的な類似度の評価を行うことで，クエリ拡張のための高精度な言語資源を作成する．
P2-17,SNSの煽り投稿における受け手の属性に着目した分類,富田真生|村井源,,P2:ポスター,近年，SNS におけるトラブルが問題となっている．要因はいくつか存在するが，その一つに「煽り」が存在する.しかし，SNS における「煽り」の詳細な定義付けはされておらず，正確な検出は実現されていない.また，煽り表現の分類を行った研究も存在するが，特徴の分析が十分ではない．そこで，本研究では，SNS における「煽り」の精度の高い検出を実現するために，先行研究をもとに話者が想定しているまたは，対象となりうる煽りの受け手の属性に着目して統計的・言語的な分析を行った．得られた結果は，SNS における「煽り」の受け手に関する特徴と，その他の要素との関係性に関する特徴を示しており，煽り表現の分類に有用であると考えられる．
P2-18,Style SimSCE: SNSユーザ同一性に基づく対照学習によるスタイル類似性を捉えた文ベクトルの獲得,仲田明良|狩野芳伸,,P2:ポスター,自然言語には，意味的内容だけでなくどのように表現するかという書き手特有のスタイルが含まれる．X（旧：Twitter）をはじめとする SNS では特にその傾向が強く，ユーザの投稿文におけるスタイルはユーザ自身の個性や社会的背景を反映しており，多種多様であると考えられる．本研究では，同一アカウントの投稿が大量に取得可能なことに着目し，投稿文ペアが同じユーザが書いたものか異なるユーザのものかユーザ同一性に基づいた対照学習を用いて，SNS 投稿文のスタイル類似性を捉えた文ベクトルを学習させることを提案する．この手法によって得られる文ベクトルは，単純なコサイン類似度の比較のみで高精度に同一ユーザによる投稿文かを識別することを可能にする．さらに人手評価により，提案手法の出力する文ベクトルの類似度は既存の文埋め込みモデルよりもスタイルの近さを反映していることを示した．
P2-19,Effectiveness of Multi-task Training for Prediction of Helpfulness of Online Movie Reviews,◊CheWang|TakuyaMatsuzaki,,P2:ポスター,"This study examined the eectiveness of a multi-tasklearning for classifying review helpfulness, sentiment po-larity, and ratio of sentences expressing positive sentimentin online movie reviews from IMDb. Employing a BERT-based model, the research demonstrates that integratingthese tasks enhances model accuracy more eectively thanhandling them independently."
P2-20,Robust Neural Machine Translation for Abugidas by Glyph Perturbation,◊HourKaing|ChenchenDing|HaiyueSong|JiannanMao|HidekiTanaka|MasaoUtiyama,,P2:ポスター,"Neural machine translation (NMT) systems are vulnerable when trained on limited data. This is a common scenario in low-resource tasks in the real world. To increase robustness, researchers intently added realistic noise in the training phase. Noise simulation using text perturbation has been proven to be efficient in writing systems that use Latin letters. In this study, we further explore perturbation techniques on more complex abugida writing systems, for which the visual similarity of complex glyphs is considered to capture the essential nature of these writing systems. Besides the generated noise, we investigated three training approaches such as subword regularization, adversarial training, and consistency training. Finally, we propose to combine them to maximize the translation performance. We conducted experiments on six languages: Bengali, Hindi, Myanmar, Khmer, Lao, and Thai. Our training approach obtained the best performance for five languages."
P2-21,ファッションブランドのSNS投稿における絵文字の使用頻度と特徴,西村綾夏|山崎由佳,,P2:ポスター,本研究では、ファッション小売チェーン「アダストリア」系列の 20 ブランドが運営するX（旧 Twitter）の投稿データをもとに、（RQ1）どの ブラ ンド にお いて絵文字の使用頻度が高いのか、（RQ2）どの よう な絵文字の使用頻度が高いのかを調査した。その結果、（RQ1）絵文 字の 使用 頻度 には ブラ ンド のタ ーゲ ット年齢層、価格帯、世界観が影響している可能性があること、（ RQ2）ブラ ンド によ って 絵文 字の バリ エーションに差があり、（ⅰ）突出してよく用いられる絵文字、（ⅱ）とくに頻度の高いカテゴリ、（ⅲ）ブランドごとの特色があることが明らかになった。
P2-22,認知症病因物質がもたらす会話内容への影響分析と発症前アルツハイマー病の予測,岡田智哉|入部百合絵|北岡教英|横井克典|勝野雅央,,P2:ポスター,アルツハイマー型認知症(AD)の早期発見を目的とした研究の多くは，神経細胞死が起こり始めた軽度認知症を早期段階としている．しかし，神経細胞が死後に回復しないことを考えると，原因物質の蓄積が認められるプレクリニカル AD 期での予測が必要である．そのプレクリニカル AD の診断には侵襲性を有する高価な検査が必要である．本研究では，雑談対話音声を用いてプレクリニカル AD を識別した．BERT や RoBERTa を特徴量抽出器として用い，AD の識別に有用な言語特徴量と組み合わせた識別器を構築することで， F 値 0.8，Recall 1.0 を得ることができ，雑談対話音声からのプレクリニカル AD早期予測への応用が期待できる．
P2-23,翻訳とBabelNetを利用した日本語の語義曖昧性解消,NaranbuuveiGanbat|浅田宗磨|古宮嘉那子,,P2:ポスター,本研究では、BabelNet の synset ID を語義ラベルに用いて日本語の語義曖昧性解消を行う。語義曖昧性解消では、あらかじめ正解ラベルとなる辞書の項目が与えられる。日本語では、分類語彙表の分類番号を利用することが多いが、多言語を扱うためには、BabelNet の多言語共通の synset ID を利用する必要がある。そこで、本研究では BabelNet の synsetID を語義ラベルに用いて、英語の語義つきコーパスから訓練した WSD モデルと、機械翻訳によって英語から和訳された語義つきデータで WSD モデルを学習し、それらを日本語のテストデータで評価して、比較と分析を行った。結果として、英語から学習したモデルが日本語のモデルより性能が高いことが分かった。また、日英のハイブリッドモデルを三つ提案した。
P2-24,方言コーパスを用いた感情分析モデルの構築と炎上・ネットいじめ検知手法の提案,加藤大造|Le-MinhNguyen,,P2:ポスター,インターネット上でユーザーが自らの感情や考えを自由に，かつ簡単に投稿できるようになってから久しい．また，ネット上での会話は日常生活の一部に組み込まれている．これらの投稿は主に口語で投稿されるため，ユーザーの居住地や出身地の方言が含まれていると推察される．本研究では，方言を含む文章は書き手の感情を強く反映している，と仮定し，SNS に投稿された方言を含むテキストデータを用いて DialectBERT モデルを構築した．このモデルは，感情分析や炎上・ネットいじめの発生検知に優れた結果を示した．
P2-25,大規模言語モデルを用いた傷害事件の関連法律予測,中下咲帆|藤後英哲|菊池英明|藤倉将平|則竹理宇,,P2:ポスター,大規模言語モデル（以下，LLM）の発達に伴い，高度な知識を必要とする法的な業務の自動化が期待されている．本研究では，特に法律相談場面に注目し，法的な相談に回答するための関連法律予測に取り組んだ．法的な相談事例と関連法律のデータセットを用いて GPT-3.5 をファインチューニングした結果，提案モデルの F1Score が GPT-4 に比べて僅差で下回った．また分析の結果，刑法 208 条の予測においてはベースラインを上回る正答数を示した一方，刑法 204 条についてはベースラインの正答数を下回った．学習時に使用したデータセットやハイパーパラメータの影響により，提案モデルが過学習を起こしている可能性が示唆された.
P2-26,LLMを用いた文脈考慮による攻撃性検出性能の改善,中野雄斗|佐藤志貴|赤間怜奈,,P2:ポスター,本稿では，長期文脈を扱える最新の大規模言語モデルは，SNS 投稿の攻撃性検出において適切な文脈考慮が可能か検証する.そのために，検出対象の投稿単体で攻撃性を評価するベースラインモデルと対話履歴を考慮して攻撃性を評価するモデルの比較実験を行った．実験の結果，対話履歴が特に必要とされる攻撃性を含まない投稿の検出に関しては，人手による検出と同様の傾向を示すなど，適切な文脈考慮ができている可能性があることがわかった．一方で，本来攻撃性のある投稿まで攻撃性が無くなったと誤った判断をしてしまうという課題が残った．
P2-27,L2日本語学習者によるエッセイ評価：語彙的多様性と文法的複雑性に焦点を置いて,小畑文佳|田川拓海|小野雄一,,P2:ポスター,本研究は，日本語学習者のエッセイ評価において，言語的特徴量に基づく新しい指標の有効性について検討を試みたものである.従来，日本語のエッセイにおける言語的特徴量の研究は，主に語彙的多様性に関するものが多かったが，日本語学習者を対象とした研究は十分ではなかった.本研究では，日本語解析器 KWJA を使用して，用言及び体言の句単位の指標を分析し，これらが構造的複雑性の一側面を示すことを示した.特に，1 文あたりの用言の割合（Yougen_rate）が日本語学習者の言語習熟度と強く関連していることが，線形回帰モデル，決定木分析，ランダムフォレストモデルによって示された.この結果は，用言の使用頻度が日本語学習者の言語能力，特に複雑な文構造の生成能力と密接に関連していることを明らかにしている.
A3-1,NoisyICL: A Little Noise in Model Parameters Can Calibrate In-context Learning,◊趙羽風|坂井吉弘|井之上直也,,A3:LLM分析評価(2),"In-Context Learning (ICL), where language modelslearn tasks in a generative form from few-shot demonstra-tions without parameter update, is emerging while scalingup the language models. Nevertheless, the performance ofICL is still unsatisfactory. Some previous studies suggestedthat it is due to under-calibration and they ﬁne-tuned lan-guage models for better ICL performance with enormousdatasets and computing costs. In this paper, we proposeNoisyICL, simply perturbing the model parameters by ran-dom noises to strive for a calibration. Our experimentson 2 models and 7 downstream task datasets show thatNoisyICL helps per form ICL better. Our fur ther analysisindicates that NoisyICL can enable the model to providemore fair predictions, with less unfaithful conﬁdence. So,NoisyICL can be considered as an eﬀective calibration."
A3-2,日本語LLM構築におけるコーパスクリーニングの網羅的評価,新里顕大|高瀬翔|清野舜|李凌寒|加藤卓也|水本智也|小林滉河|佐藤潤一|柴田知秀,,A3:LLM分析評価(2),本稿では日本語 LLM の事前学習用のコーパスをクリーニングすることがモデルの性能向上に有効であることを示す．評価実験として，クリーニングの条件を変え 1.3B パラメータの日本語 LLM を学習し，複数の質問応答タスクおよび事後学習後の自由記述質問応答における性能を比較した．その結果，計算資源が比較的限られている場合（250B トークンの学習）では，クリーニングによりモデルの性能が向上し，計算資源が十分な場合（1T トークンの学習）では，クリーニングにより性能維持，タスクによっては性能向上することを確認した．
A3-3,汎用言語モデルは日本語学習者データに基づく語彙難易度を予測できるのか,梁震|彭悦|笹尾洋介,,A3:LLM分析評価(2),日本語学習における語彙習得の重要性を踏まえ，本研究では汎用言語モデル GPT-4を用いて日本語の語彙難易度を分析した.具体的には，GPT-4 に語同士の難易度関係を出してもらい，その結果を基に機械学習で語彙難易度を算出する方法を採用した.検証には，中国語母語話者にとっての日本語語彙難易度が判明している語を用いて，本稿の手法で語彙の難易度を推定した.その結果，既存の調査結果の 99%信頼区間内に収まるデータの割合は71%と比較的高く，従来の手法よりも迅速かつ広範囲にわたる難易度評価が可能となった.この研究により，日本語教育における効果的な教材開発や教授法の改善に寄与する可能性が示された.
A3-4,LLM による合成文脈データを用いた表のエンティティリンキング,大嶋悠司|進藤裕之|寺西裕紀|大内啓樹|渡辺太郎,,A3:LLM分析評価(2),論文の表には実験結果などの重要な情報が含まれるため，表を解析して知識ベースと紐づけるエンティティリンキングは有用な技術と期待されている．このタスクでは表のセルを読解して，それが指す知識ベースのエンティティと紐づけるには，幅広い文脈理解が必要になる．しかしながら，論文の本文からセルの文脈を適切に抽出する必要があるという課題があった．本研究では，大規模言語モデルを活用し，セルの文脈を生成する合成文脈を提案する．このアプローチにより，既存手法よりリンキング精度が 5 ポイント以上向上することを実証した．また，合成文脈は場合によって論文には記述されていない補助知識も補完されることを明らかにした．
A3-5,固有表現抽出における大規模言語モデルのLoRAファインチューニングの学習設定の調査,鬼頭泰清|牧野晃平|三輪誠|佐々木裕,,A3:LLM分析評価(2),大規模言語モデルを低コストでファインチューニングする LoRA と呼ばれるファインチューニング手法が注目を集めている．一方で，LLM の固有表現抽出(NER)に対する性能は低く，未だ BERT を用いた最先端モデルの性能に追いついていない．本研究では，生命医学分野の NER に有効な LLM の LoRAを用いたファインチューニングの学習設定を調査した．結果として，最先端モデルの性能を上回る結果は得られなかったが，(1)プロンプトが不要であること，(2)タグ付けによる NER が高性能であること，(3)学習可能な全ての層に LoRA を適用することで少ない学習パラメタ数でも Full Fine-tuning と同等の性能を達成することを明らかにした．
A3-6,LLM はユーザーに適したテキストの難易度を暗黙的に考慮しているのか？,郷原聖士|上垣外英剛|渡辺太郎,,A3:LLM分析評価(2),学生の理解度向上には、個人の学習レベルに適した教育が必要である。また、言語学習などの指導では、教員は各学生の理解度の把握が重要である。ただし、教員が全学生に個別指導を行うのは時間的な制約から困難である。解決策として、大規模言語モデル（LLM）で学生の質問応答をサポートする方法が考えられる。LLM は、幅広い分野への回答が可能なため、LLM を活用した細かな指導の自動化が期待される。しかし、LLM が指導者の代わりに質問応答できるとして、細かな指導の限界は未知である。そこで本研究では、教育分野での LLM の活用を促進するために文章の難易度に焦点を当てて、LLM が持つユーザへの暗黙的な難易度調整能力を調査する。
B3-1,中間言語を利用したデータ多様化とアンサンブル学習に基づくゼロリソース機械翻訳,BuiTuanThanh|秋葉友良|塚田元,,B3:機械翻訳(3),本研究では、対訳データのない（ゼロリソース）言語対のニューラル機械翻訳システムを対象として、中間言語を介して擬似対訳データを構築する手法を提案する。提案手法はソース言語・中間言語と中間言語・ターゲット言語の２つの対訳コーパスを利用し、多様性のあるかつ品質の高いソース・ターゲットの擬似対訳データを構築する。本稿では、中間言語の単言語データを利用することの効果も調べる。実験では、４つの翻訳タスクを用い、提案手法が有効であることを示した。ピボット翻訳手法と比較すると、翻訳性能(BLEU スコア)は+1.27〜+6.09向上した。
B3-2,Estimating Japanese Essay Grading Scores with Large Language Models,◊OkgethengBoago|KoichiTakeuchi,,B3:機械翻訳(3),"In Natural Language Processing (NLP), the role of LargeLanguage Models (LLMs) has been transformative, partic-ularly in automatic essay scoring. However, their applica-tion for Japanese essay scoring remains under-researched.This study investigates the eﬀectiveness of the Open-CalmLLM family in grading Japanese essays, using a datasetof about 300 essays annotated by native Japanese educa-tors, spanning four thematic categories with three types ofprompts.Our evaluation focused on two key metr ics: QuadraticWeighted Kappa (QWK) and accuracy. The results high-lighted the Open-Calm Large model as the standout per-former, achieving an accuracy of 59% and a QWK scoreof 0.52. In contrast, the Open-Calm Small model showedlower eﬃcacy, with 54% accuracy and a QWK of 0.32.Notably, essays from the ’Global’ category received thehighest accuracy rate of 63%. Performance also variedacross diﬀerent prompts, with Prompt 1 showing the high-est accuracy at 62%, while Prompt 3 lagged at 50%.These ﬁndings demonstrate the signiﬁcant potential ofLLMs in automated Japanese essay grading, emphasizingthe importance of model choice based on essay type andcategory. This study contributes to the understanding ofLLMs in educational assessment tools, showcasing theirpromising application in diverse linguistic contexts."
B3-3,Non-literal Neural Machine Translation by Exploiting Non-literal Bitext,◊LianhaoYu|NaokiYoshinaga|MasatoNeishi|YumaTsuta,,B3:機械翻訳(3),"To avoid unnatural-sounding translations produced byexisting neural machine translation (NMT) systems, wepropose training an NMT model for non-literal translationsby exploiting possibly non-literal translations in trainingdata. Speciﬁcally, we split the training bitext into two setsin terms of non-literalness and applied domain adaptationtechniques to acquire an NMT model adapted to non-literaltranslations. Our best-performing model achieved a BLEUscore of 25.20 and a COMET score of 0.7932 in producingnon-literal translations."
B3-4,多数決による自己回帰モデルに基づく機械翻訳,村上仁一,,B3:機械翻訳(3),ニューラルネットワーク機械翻訳（以後NMT）は，現在の機械翻訳において主流である．NMT は，encoder-decoderモデルに基づいている．このencoder-decoder モデルは，自己回帰モデル（以後 AR モデル）に極めて類似している．そこで，NMT において AR モデルを仮定し，この仮定の下で，機械翻訳システムを構築した．具体的には，従来の NMT において，AR モデルを想定して，多数決で翻訳文を選択した．また，入力文ごとに少数の類似文を用いた再学習をおこなった．その結果，少量の学習データにも関わらず，現在の google に接近した，高い翻訳性能が得られた．
B3-5,双方向翻訳モデルの相互学習におけるデータ多様化の適用,紺谷優志|秋葉友良|塚田元,,B3:機械翻訳(3),"ニューラル機械翻訳では大量の学習データが必要となるが,十分な量のデータを用意できないドメインにおいては高性能なモデルを作ることは難しい.この問題に対し,単言語コーパスで学習データを拡張する Back Translation (BT)や, BT を 2 方向のモデルで相互に繰り返す Itarative Back Translation (IBT)が提案されている.本研究では,複数のモデルによる出力文を用いた学習とアンサンブル翻訳により,通常の IBT の効果を更に向上させる手法を提案する.英日・英独コーパスの実験を通して,通常の IBT と比較して提案手法がより高い BLEU スコアを達成することを確認した."
B3-6,字幕機械翻訳における自動訳抜け検出の試みとその分析,石川隆太|須藤克仁|松島朝子|中村哲,,B3:機械翻訳(3),本研究では、英語から日本語への字幕翻訳を題材として、機械翻訳結果における訳抜けの自動検出を試み、その結果の分析を行う。字幕翻訳では字幕表示の制約により省略や言い換えを通じて訳出が短くなる傾向にあり、そうした事例を学習した機械翻訳は訳抜けをしやすく、自動訳抜け検出により翻訳後編集の効率向上が期待される。映像字幕データに対する実験では、自動訳抜け検出は一定の効果が認められるものの、字幕翻訳の特性に起因する訳抜けの過剰検出が目立ち、省略と訳抜けのトレードオフ解消の難しさが示唆される結果が得られた。
C3-1,ClipQA: 言語特徴埋め込み空間における3D画像質問応答,東慶多|EdisonMarrese-Taylor|宮尾祐介,,C3:質問応答,"近年,自然言語処理とコンピュータビジョンの融合分野では,３次元質問応答（3D-VQA）などの空間理解に関する研究が関心を集めている.本研究では既存の 3D-VQA モデル ScanQA [1]に対し, ContrastiveLanguage-Image Pretraining (CLIP)特徴量を活用した２つの改善手法―1.質問埋め込み及び物体特徴量に CLIP 特徴量を付加する手法, 2.質問応答に用いるマルチモーダルモデル（Transformer）の注意機構にCLIP 特徴量から計算したバイアスを加える手法―を提案し,その効果を検証する.実験の結果,提案手法 1., 2.ともに質問応答の精度改善に有効であり,両手法を用いることで質問応答の精度がベースモデルと比べて 5 ∼ 10%向上することを示した."
C3-2,長文生成の多面的評価:人手評価と自動評価の向上を目指して,鴨田豪|浅井明里|AnaBrassard|坂口慶祐,,C3:質問応答,"大規模言語モデル(LLM)は幅広いタスク目覚ましい成長を遂げているが，情報検索クエリに対する長文応答の評価は依然として困難である．本研究ではそのような長文生成に対して網羅的な評価基準を定め，人手評価と自動評価の質を高める．評価には4 つの軸を設け，それぞれに対し絶対評価を行う．この枠組みに従い，人間の回答と LLM が生成した回答に対して総計 3,600 件の人手評価を収集し，総合評価に最も影響を与える重要な評価軸を明らかにする．更に，従来の手法を人手評価との相関で凌駕する，LLM を利用した自動評価手法を確立する．github.com/gokamoda/LFQA-MultiAspectEval"
C3-3,日本語Natural QuestionsとBoolQの構築,植松拓也|王昊|河原大輔|柴田知秀,,C3:質問応答,"頑健な質問応答(QA)モデルの訓練、評価を行うためには、様々な QA データセットを用意する必要がある。しかし、多様な QA データセットが存在する言語は英語だけであり、日本語においては少数の基本的な QA データセットしか存在しない。本研究では、人間の情報欲求から自然発生する質問からなる Natural Questions (NQ)と BoolQ の日本語版(JNQ,JBoolQ)を構築する。構築は、検索エンジンのクエリログから日本語の自然な質問文を収集し、クラウドソーシングを利用したアノテーションによって行う。また、JNQ から 2 つのタスク、JBoolQ から 1 つのタスクを定義し、QA モデルを評価する。"
C3-4,InstructDoc: 自然言語指示に基づく視覚的文書理解,田中涼太|壱岐太一|西田京介|齋藤邦子|鈴木潤,,C3:質問応答,自然言語指示に基づいて，文書を視覚的に理解するための基盤データセットであるInstructDocを提案する．InstructDoc は 12 種類の視覚的文書理解（VDU）タスクから構成されており，多様な自然言語指示を提供した最大規模のデータセットである．さらに，大規模言語モデル(LLM)の推論能力を活用し，視覚的文書理解を行う新たなモデルを提案する．実験により，我々のモデルは自然言語指示を基に未知の VDU タスクに適応できることを示し，従来のマルチモーダル LLM の性能を凌駕することを確認した．
C3-5,JDocQA: 図表を含む日本語文書質問応答データセットによる大規模言語モデルチューニング,大南英理|栗田修平|宮西大樹|渡辺太郎,,C3:質問応答,実用的な文書にはテキストだけでなく様々な図表等が含まれる．このような文書への高精度な質問応答を実現するためには，視覚情報とテキスト情報の両方の理解が必要となる．本研究では図表を含む日本語文書をもとにして，視覚情報とテキスト情報の両方を参照する質問応答データセット JDocQA を提案し，複数の日本語大規模言語モデルや画像を入力とするモデルを使用して，データセットのベンチマーキングを行った．その結果，JDocQA を用いて大規模言語モデルのチューニングを行うことで，図表を含む日本語文書の質問応答課題の性能を向上することができた．また，文書中の情報から解答できない質問を学習することにより，モデルのハルシネーション抑制に有効であることを確認した．
C3-6,絵本を題材とするクイズの生成と評価,水上雅博|藤田早苗|小林哲生,,C3:質問応答,特定のドメインにおける知識量や理解度の確認を楽しく行うために，しばしばクイズが用いられる．クイズには高い需要がある一方で，クイズの作成は，クイズの題材となるドメインの理解だけでなく，クイズの目的や場面に応じた様々な明示的・暗示的条件を考慮する必要があり，作業のコストが高いという問題がある．本研究では絵本を題材とした子ども向けクイズの自動生成に向けて，クイズデータの人手作成，複数条件でのインストラクションの生成，LLM の追加学習を行い，インストラクションごとのクイズ生成の性能を評価することで，どのような情報がクイズ生成に有益であるか調査した．
D3-1,文字系列情報による性能への影響からニューラルモデルが有する言語的な傾向を見出せるか,黒澤友哉|谷中瞳,,D3:形態素・構文解析・固有表現,本研究では，文字系列情報を付加的に利用するニューラルモデルにおいて，文字系列情報による性能への影響度を定義し，その値がどのような言語的な傾向を反映しているかを検証する．実験では 48の言語を対象に，品詞タグ付けと依存構造解析の 2つのタスクにおいて，文字系列情報による性能への影響度を調査する．文字の数が多いほど情報量も多いことから，仮説として「文字系列情報が与える性能への影響度は，その言語の平均単語長が長いほど大きい」と立て検証する．実験の結果，ラテン文字を用いる言語において仮説を支持する値が得られた一方で，検定の結果，依存構造解析においては仮説を示すことができなかった．
D3-2,サブワード系列の変化が固有表現抽出に与える影響の調査,辻航平|平岡達也|鄭育昌|岩倉友哉,,D3:形態素・構文解析・固有表現,サブワード正則化によって，複数の分割結果を考慮することで，翻訳や文書分類タスクで精度の向上が得られている．しかし，複数のサブワード系列を用いた推論の調査はあまり行われてはいない．本稿では，固有表現抽出において，複数のサブワード系列から得られた推論結果と本来の推論結果との関係を調査した結果を報告する．結果として，サブワード分割に依らずに一致した推論結果を多く得られていた文はそうでない文よりも精度が良いことが確認でき，モデル間で比較した場合，サブワード分割に依らない推論ができているモデルほど精度が上がることが確認できた．また，固有表現抽出においてもサブワード正則化を用いた単一モデルアンサンブルにより精度を向上させる余地があることも分かった．
D3-3,木構造自己注意機構を用いた教師なし統語構造解析,成田百花|持橋大地|小林一郎,,D3:形態素・構文解析・固有表現,X (旧 Twitter)などのソーシャルメディアでは，口語に近い文体で文章が記述される傾向にある．こうした文は文法規則にとらわれない自由な文体で，構文構造について従来のルールベースの手法では解析することができない文が数多く存在する．そこで本研究では，実データの例として X コーパスを対象に，深層学習を用いて統語構造解析を行う教師なし学習モデルを提案する．提案手法では，条件付き確率場（CRF）による構文木の解析精度の向上を促すよう，Transformer の自己注意機構を入力文の統語構造を反映するように変更したエンコーダを用いる．提案モデルを用いることで，従来のモデルと比較して X コーパスにおける構文解析精度が向上することが確認された．
D3-4,系列ラベリングデータにおけるCutMIX によるデータ拡張,田村光太郎,,D3:形態素・構文解析・固有表現,"固有表現抽出モデルを構築するにあたり，訓練データとして，固有表現の位置をアノテーションする系列ラベリングデータが必要となる．しかし，データ構築の際のアノテーションでは，テキストの精読が必要となり，継続的に高品質な教師データを作成することが難しい．そのため，少量のデータを利用した効率的な学習として，テキストに対する拡張手法を適用することを試みた．ここではニューステキストにおける情報抽出タスクを題材として，画像データで利用される Mix-based の手法を適用しデータ拡張を行った．これらの拡張手法におけるデータ量やその強度での精度変化を調べ,モデルの精度向上を行った．"
D3-5,"BPEを用いたトークナイザーの性能に対する, 言語・語彙数・データセットの影響",中島大|野崎雄太|佐藤諒|麻場直喜|川村晋太郎,,D3:形態素・構文解析・固有表現,"大規模言語モデル(Large Language Model: LLM)への入出力に使われているトークナイザーについて,下流タスクから評価した研究が複数行われているものの,タスク内容やモデルの種類など議論の難しい要素が非常に多く,実際の開発では経験的な決め打ちによってトークナイザーを作成している場合が多いと推察する.そこで,本研究ではトークナイザーの定量的な指標となる,評価用テキストをトークナイズしたときの 1 トークンあたりの平均文字数(Length per Token: LPT)を複数の場合で調べた.結果として, LPT は語彙数に対していずれの言語でも log的に増加し,ただしその係数は言語特性を強く反映することが明らかとなった.また,英語に比べて日本語の場合で特に LPT がデータセットのドメインに影響を受けることが明らかとなった."
D3-6,固有表現を対象とした小説登場人物検出,大島一海|窪田智徳|小川浩平|佐藤理史,,D3:形態素・構文解析・固有表現,人間は，小説中の登場人物を容易に把握できる．この処理を機械的に行うのが，登場人物検出である．本論文では，固有表現を対象とする登場人物検出器を提案する．本システムは，3 つのモジュールから構成されており，小説テキスト中の人物を指し示す表現（人物表現）を認定し，同一人物を指し示す人物表現に同一の人物 ID を割り当てた後，小説テキスト中の人物表現の出現箇所にタグを付与する．
E3-1,深層学習モデルにおける言語特徴分布に関する研究,平野颯|上垣外英剛|渡辺太郎,,E3:言語モデル分析・計算言語学,Transformer ベースの言語モデルは、自然言語処理の幅広いタスクで活用されるようになった。モデルが行った判断の解釈のため、複数の分析方法が提案されてきた。以前の研究により、複数言語のコーパスで学習した言語モデルにおいて、言語の系統的な分布がモデル内部で学習されることが知られているが、事前学習の目的関数にそのような制約は含まれていないため特筆すべきである。本研究では、そのような分布が得られることが、言語特徴を学習できているためであると結論づけられるかどうかを、モデル表現の分布と比較することで分析する。
E3-2,時間関係に基づくテ形節の用法分類,野口咲帆|戸次大介,,E3:言語モデル分析・計算言語学,テ形節は日本語において頻出する形式である.テ形節の用法を判定できれば，テ形節と後続する節の意味関係を考慮した意味解析が可能となるが，その基礎となるのはテ形節の用法分類と，それに基づくテキストアノテーションである．日本語学においてはこれまで多様なテ形節の用法分類がなされてきた．ところが先行研究の用法分類をもとにアノテーションを試みると，一つの表現に複数の用法が当てはまってしまう，といった問題がある．そこで本研究ではアノテーションを念頭に置いたテ形節の用法分類を提案する．本研究の用法分類はテ形節と主節の時間関係を軸に行い，その中で継続動詞／瞬間動詞のテ形で形成されたテ形節が「動作の継続」／「結果残存」を表す場合に着目した分類を設けた．
E3-3,依存型意味論における暗黙的な文脈拡張による慣習的推意の分析,松岡大樹|戸次大介|谷中瞳,,E3:言語モデル分析・計算言語学,文や発話の争点とはならない補足情報のことを慣習的推意といい，これは聞き手が直接的に応答できない形で会話の文脈を更新するという特殊な性質を持つ．本稿は慣習的推意に対して依存型意味論という枠組みに基づく分析を与える．具体的には，型検査の過程で型付け文脈を拡張するような型を提案し，これにより慣習的推意に関する意味現象に対して適切な予測ができることを示す．
